412,104.996011ms
413,105.019817ms
414,104.956448ms
415,104.985747ms
416,104.958576ms
417,104.990605ms
418,104.971399ms
419,105.005864ms
420,103.859902ms
421,103.771149ms
422,103.709249ms
423,102.86876ms
424,102.813947ms
425,101.778825ms
426,101.717959ms
427,101.720933ms
428,101.717953ms
429,101.72576ms
430,101.713368ms
431,101.712404ms
432,101.348727ms
433,101.315138ms
434,101.332082ms
435,101.311951ms
436,101.33409ms
437,101.319401ms
438,100.887542ms
439,100.836066ms
440,100.855574ms
441,100.847806ms
442,100.871802ms
443,100.866249ms
444,100.891453ms
445,100.515145ms
447,116.741769ms
446,116.924936ms
448,116.884926ms
449,116.903515ms
450,116.917581ms
451,116.954635ms
452,116.978955ms
453,116.991496ms
454,117.786263ms
455,117.850635ms
456,117.862168ms
457,117.865045ms
458,117.869261ms
459,104.164721ms
460,102.335949ms
461,102.280262ms
462,87.238428ms
463,87.32369ms
464,87.261815ms
465,87.211139ms
466,87.167874ms
467,87.153207ms
468,77.863181ms
469,72.302608ms
470,72.258265ms
471,72.247285ms
472,72.243269ms
473,72.302567ms
474,72.462819ms
475,72.647999ms
476,72.77206ms
477,72.882425ms
478,72.990944ms
479,73.084624ms
480,73.345734ms
481,73.530499ms
482,73.565864ms
483,73.581509ms
484,73.597657ms
485,73.583215ms
486,73.584068ms
487,73.605755ms
488,73.629183ms
489,73.652148ms
490,73.671265ms
491,73.694811ms
492,73.71838ms
493,73.743281ms
494,73.744948ms
495,73.768313ms
496,60.303844ms
497,60.399494ms
498,60.514524ms
499,60.554019ms
500,60.577971ms
501,60.604464ms
502,60.589895ms
503,60.609549ms
504,60.610151ms
505,60.596487ms
506,60.586836ms
507,60.584188ms
508,60.583651ms
509,60.57981ms
510,60.557ms
511,60.545518ms
512,60.52327ms
513,60.521554ms
514,60.520018ms
515,60.518287ms
516,60.510925ms
517,60.508098ms
518,60.91656ms
519,60.886581ms
520,61.87766ms
521,61.961483ms
522,62.012492ms
523,61.964507ms
524,62.008855ms
525,62.05466ms
526,62.771802ms
527,62.87969ms
528,66.268503ms
529,66.391976ms
530,66.735931ms
531,67.02549ms
532,67.223289ms
533,68.118691ms
534,68.5679ms
535,68.722215ms
536,68.82897ms
537,68.997867ms
538,74.929511ms
539,75.086095ms
540,75.058532ms
541,75.092715ms
542,75.134139ms
543,75.162873ms
544,75.200697ms
545,75.241538ms
546,75.255206ms
547,75.297662ms
548,75.333691ms
549,75.749738ms
550,75.911091ms
551,75.994057ms
552,76.068332ms
553,76.127303ms
554,75.874073ms
555,75.91869ms
556,75.979834ms
557,76.043699ms
558,76.075094ms
559,76.124202ms
560,72.933871ms
561,73.068664ms
562,73.217638ms
563,73.744942ms
564,74.844355ms
565,75.031073ms
566,75.395938ms
567,75.697372ms
568,76.11757ms
569,90.249704ms
570,90.41614ms
571,90.535876ms
572,90.662706ms
573,90.432768ms
574,90.516527ms
575,90.645645ms
576,90.236573ms
577,90.395055ms
578,90.554919ms
579,105.107631ms
580,105.578967ms
581,105.997584ms
582,106.38994ms
583,106.826384ms
584,107.472482ms
585,107.890172ms
586,113.046042ms
587,113.222937ms
588,118.338741ms
589,119.504435ms
590,120.888584ms
591,122.548631ms
592,123.094012ms
593,123.566599ms
594,124.129206ms
595,124.653497ms
596,125.358982ms
597,125.979954ms
598,127.043649ms
599,127.479578ms
600,127.923485ms
601,128.033265ms
602,128.113471ms
603,129.846955ms
605,130.050815ms
604,130.140116ms
606,130.081583ms
607,130.082069ms
608,130.162104ms
609,130.150473ms
610,130.211528ms
611,130.167336ms
613,130.624919ms
614,131.088453ms
615,131.888944ms
616,133.320658ms
617,134.60575ms
618,135.611421ms
619,136.483821ms
620,137.895411ms
621,139.127713ms
622,140.030583ms
623,141.847266ms
624,142.764102ms
625,143.077065ms
627,144.149659ms
626,144.024059ms
612,130.654853ms
628,145.679249ms
630,134.261626ms
629,134.351847ms
631,134.364611ms
632,134.355014ms
633,134.365573ms
634,134.397276ms
635,134.412392ms
636,133.445489ms
637,133.448932ms
638,133.437597ms
639,133.409012ms
640,133.424025ms
641,133.441413ms
642,133.453564ms
643,133.471607ms
644,133.4917ms
645,133.512733ms
647,180.643936ms
646,182.801235ms
648,183.606146ms
649,184.239745ms
650,184.513816ms
651,185.073776ms
652,185.504564ms
653,186.058896ms
654,186.726385ms
655,187.218627ms
656,187.644079ms
657,188.443599ms
658,189.827738ms
659,189.877012ms
660,189.906301ms
661,189.931319ms
662,189.959014ms
663,190.256807ms
664,190.294761ms
665,190.326303ms
666,190.333256ms
667,192.505692ms
668,192.912091ms
669,193.124103ms
670,193.900149ms
671,197.843087ms
672,201.794291ms
673,203.357465ms
674,203.78732ms
675,203.839563ms
676,203.880138ms
677,203.921261ms
678,204.116995ms
679,204.160282ms
680,204.340037ms
681,204.426648ms
682,204.669303ms
683,204.889622ms
684,204.935462ms
685,205.195215ms
686,205.421001ms
687,205.558805ms
688,205.827537ms
689,215.457729ms
690,215.533118ms
691,215.581604ms
692,215.623382ms
693,215.664569ms
694,215.680444ms
695,215.806114ms
